web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1727020215-105","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1727020215-106","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1727020215-107","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Cheese 72G","","Rp 5.000"
"1727020215-108","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Choco","","Rp 5.000"
"1727020215-109","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Mocha","","Rp 5.000"
"1727020215-110","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1727020215-111","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1727020215-112","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1727020215-113","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 80G","","Rp 9.300"
"1727020215-114","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 150G","","Rp 21.900"
"1727020215-115","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","","Rp 28.500"
"1727020215-116","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","","Rp 28.500"
"1727020215-117","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","","Rp 9.600"
"1727020215-118","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","","Rp 9.600"
"1727020215-119","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","","Rp 9.600"
"1727020215-120","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","","Rp 9.600"
"1727020215-121","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","","Rp 26.500"
"1727020215-122","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","","Rp 52.000"
"1727020215-123","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X2g","","Rp 53.900"
"1727020215-124","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Cookie Koko Krunch 30G","","Rp 9.500"
"1727020215-125","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast School Pack 75g","","Rp 14.500"
